80.12		# MHz
0.400000	# s
100.00  2.00	# Hz
#offset(ppm)    Intensity    error
# A1 R2a: 10.0 R2b: 10.0 dw: -5.0
 100.000    0.647    0.006
 100.201    0.650    0.006
 100.402    0.652    0.006
 100.603    0.648    0.006
 100.804    0.647    0.006
 101.005    0.654    0.006
 101.206    0.647    0.006
 101.407    0.648    0.006
 101.608    0.654    0.006
 101.809    0.643    0.006
 102.010    0.645    0.006
 102.211    0.650    0.006
 102.412    0.637    0.006
 102.613    0.653    0.006
 102.814    0.641    0.006
 103.015    0.630    0.006
 103.216    0.652    0.006
 103.417    0.639    0.006
 103.618    0.641    0.006
 103.819    0.646    0.006
 104.020    0.634    0.006
 104.221    0.632    0.006
 104.422    0.634    0.006
 104.623    0.633    0.006
 104.824    0.636    0.006
 105.025    0.631    0.006
 105.226    0.629    0.006
 105.427    0.627    0.006
 105.628    0.623    0.006
 105.829    0.619    0.006
 106.030    0.620    0.006
 106.231    0.617    0.006
 106.432    0.604    0.006
 106.633    0.617    0.006
 106.834    0.597    0.006
 107.035    0.596    0.006
 107.236    0.596    0.006
 107.437    0.587    0.006
 107.638    0.581    0.006
 107.839    0.581    0.006
 108.040    0.575    0.006
 108.241    0.562    0.006
 108.442    0.551    0.006
 108.643    0.534    0.006
 108.844    0.532    0.006
 109.045    0.523    0.006
 109.246    0.512    0.006
 109.447    0.489    0.006
 109.648    0.471    0.006
 109.849    0.445    0.006
 110.050    0.414    0.006
 110.251    0.400    0.006
 110.452    0.362    0.006
 110.653    0.329    0.006
 110.854    0.292    0.006
 111.055    0.253    0.006
 111.256    0.215    0.006
 111.457    0.169    0.006
 111.658    0.130    0.006
 111.859    0.077    0.006
 112.060    0.056    0.006
 112.261    0.033    0.006
 112.462    0.022    0.006
 112.663    0.012    0.006
 112.864    0.005    0.006
 113.065    0.008    0.006
 113.266   -0.005    0.006
 113.467    0.005    0.006
 113.668   -0.006    0.006
 113.869   -0.000    0.006
 114.070    0.000    0.006
 114.271    0.004    0.006
 114.472    0.009    0.006
 114.673   -0.001    0.006
 114.874    0.000    0.006
 115.075    0.011    0.006
 115.276    0.008    0.006
 115.477    0.007    0.006
 115.678    0.002    0.006
 115.879    0.004    0.006
 116.080    0.002    0.006
 116.281    0.000    0.006
 116.482   -0.007    0.006
 116.683    0.011    0.006
 116.884   -0.002    0.006
 117.085    0.002    0.006
 117.286   -0.008    0.006
 117.487   -0.002    0.006
 117.688    0.005    0.006
 117.889    0.013    0.006
 118.090    0.007    0.006
 118.291    0.005    0.006
 118.492    0.006    0.006
 118.693    0.007    0.006
 118.894    0.003    0.006
 119.095    0.003    0.006
 119.296    0.018    0.006
 119.497    0.036    0.006
 119.698    0.039    0.006
 119.899    0.070    0.006
 120.101    0.105    0.006
 120.302    0.132    0.006
 120.503    0.170    0.006
 120.704    0.192    0.006
 120.905    0.235    0.006
 121.106    0.269    0.006
 121.307    0.292    0.006
 121.508    0.322    0.006
 121.709    0.354    0.006
 121.910    0.373    0.006
 122.111    0.393    0.006
 122.312    0.415    0.006
 122.513    0.430    0.006
 122.714    0.456    0.006
 122.915    0.473    0.006
 123.116    0.478    0.006
 123.317    0.490    0.006
 123.518    0.506    0.006
 123.719    0.513    0.006
 123.920    0.518    0.006
 124.121    0.539    0.006
 124.322    0.533    0.006
 124.523    0.540    0.006
 124.724    0.561    0.006
 124.925    0.555    0.006
 125.126    0.575    0.006
 125.327    0.579    0.006
 125.528    0.577    0.006
 125.729    0.583    0.006
 125.930    0.593    0.006
 126.131    0.597    0.006
 126.332    0.600    0.006
 126.533    0.602    0.006
 126.734    0.610    0.006
 126.935    0.606    0.006
 127.136    0.614    0.006
 127.337    0.614    0.006
 127.538    0.607    0.006
 127.739    0.606    0.006
 127.940    0.616    0.006
 128.141    0.627    0.006
 128.342    0.634    0.006
 128.543    0.635    0.006
 128.744    0.628    0.006
 128.945    0.628    0.006
 129.146    0.627    0.006
 129.347    0.629    0.006
 129.548    0.642    0.006
 129.749    0.626    0.006
 129.950    0.621    0.006
 130.151    0.633    0.006
 130.352    0.640    0.006
 130.553    0.633    0.006
 130.754    0.647    0.006
 130.955    0.643    0.006
 131.156    0.643    0.006
 131.357    0.649    0.006
 131.558    0.645    0.006
 131.759    0.649    0.006
 131.960    0.641    0.006
 132.161    0.642    0.006
 132.362    0.648    0.006
 132.563    0.651    0.006
 132.764    0.653    0.006
 132.965    0.655    0.006
 133.166    0.644    0.006
 133.367    0.642    0.006
 133.568    0.651    0.006
 133.769    0.646    0.006
 133.970    0.654    0.006
 134.171    0.652    0.006
 134.372    0.645    0.006
 134.573    0.656    0.006
 134.774    0.646    0.006
 134.975    0.653    0.006
 135.176    0.665    0.006
 135.377    0.670    0.006
 135.578    0.655    0.006
 135.779    0.655    0.006
 135.980    0.643    0.006
 136.181    0.658    0.006
 136.382    0.656    0.006
 136.583    0.662    0.006
 136.784    0.653    0.006
 136.985    0.661    0.006
 137.186    0.655    0.006
 137.387    0.658    0.006
 137.588    0.659    0.006
 137.789    0.667    0.006
 137.990    0.656    0.006
 138.191    0.658    0.006
 138.392    0.659    0.006
 138.593    0.657    0.006
 138.794    0.661    0.006
 138.995    0.661    0.006
 139.196    0.652    0.006
 139.397    0.654    0.006
 139.598    0.659    0.006
